,time,open,high,low,close,volume,quoteVolume
0,2020-07-01 01:00:00,9118.52387858,9126.50209999,9118.52387858,9125.74783401,0.09013950,822.18837207
1,2020-07-01 01:05:00,9127.96113813,9129.99999999,9113.52575763,9118.49868437,0.68791879,6276.88672835
2,2020-07-01 01:10:00,9113.62500003,9118.07099998,9111.66478468,9117.63952983,0.38963978,3552.53598916
3,2020-07-01 01:15:00,9111.66478488,9120.46204235,9111.66478488,9115.94059990,0.71957329,6557.43791304
4,2020-07-01 01:20:00,9115.94059986,9115.94059986,9107.65779332,9115.94057611,0.03170823,289.03516426
5,2020-07-01 01:25:00,9108.62500385,9112.63899651,9101.83340000,9101.83340001,1.99498746,18163.99195008
6,2020-07-01 01:30:00,9101.81263735,9118.56456582,9098.41226411,9110.72500295,2.80151169,25511.40845262
7,2020-07-01 01:35:00,9118.16207413,9120.63382343,9099.78971749,9120.63382343,5.50690272,50187.84726539
8,2020-07-01 01:40:00,9120.63382342,9120.63390000,9112.66253920,9118.20200000,0.82375355,7512.58526053
9,2020-07-01 01:45:00,9118.53538539,9120.48894226,9113.28000005,9120.48894226,0.05698027,519.64378899
10,2020-07-01 01:50:00,9121.34207015,9126.99869999,9120.63300021,9121.78710000,0.63997978,5840.04535254
11,2020-07-01 01:55:00,9121.78709999,9121.78709999,9117.96901355,9121.75345436,0.03652763,333.09228753
12,2020-07-01 02:00:00,9127.26723592,9127.26723592,9118.94100555,9119.75225517,0.40872433,3729.10552641
13,2020-07-01 02:05:00,9126.14699993,9126.14699993,9110.69170005,9119.73594249,0.80218357,7314.85759048
14,2020-07-01 02:10:00,9128.90044853,9142.08148824,9123.78690000,9138.51499758,0.97778922,8929.97165392
15,2020-07-01 02:15:00,9146.00499645,9146.70339165,9137.13700007,9137.13700007,0.47461215,4340.73712952
16,2020-07-01 02:20:00,9138.46400005,9144.74878528,9138.46400001,9143.68853879,0.04613454,421.66468997
17,2020-07-01 02:25:00,9146.70339168,9147.14875373,9137.00000000,9137.70388927,0.22452869,2051.79285297
18,2020-07-01 02:30:00,9136.78600010,9145.30420000,9136.78600010,9140.05050000,0.24180445,2210.14524488
19,2020-07-01 02:35:00,9140.45517870,9140.92814726,9132.49874586,9132.49874586,0.48124995,4397.53641776
20,2020-07-01 02:40:00,9132.93150973,9135.00000000,9132.93150973,9135.00000000,0.67139250,6133.03007762
21,2020-07-01 02:45:00,9135.00000000,9135.00000000,9134.51556734,9134.96299999,0.32774555,2993.94348221
22,2020-07-01 02:50:00,9129.02330021,9134.51556734,9129.02330021,9129.02330028,0.50591238,4619.98173990
23,2020-07-01 02:55:00,9129.41558557,9132.32200000,9129.41558557,9132.32200000,0.03373073,307.96782023
24,2020-07-01 03:00:00,9132.32200006,9135.00000000,9132.32200006,9135.00000000,0.33843019,3091.29800018
25,2020-07-01 03:05:00,9135.00000000,9135.44499999,9128.82340006,9135.29126227,0.16225057,1482.11127315
26,2020-07-01 03:10:00,9135.22116504,9138.20257807,9129.92310005,9137.57681428,0.19186939,1752.68057533
27,2020-07-01 03:15:00,9137.02104264,9137.02104264,9133.22210003,9133.22210003,0.00305059,27.86516282
28,2020-07-01 03:20:00,9137.02104067,9137.02104067,9128.92300003,9132.00000000,0.50950838,4653.86451096
29,2020-07-01 03:25:00,9130.00282979,9134.22992578,9130.00282979,9130.54177425,0.21347412,1949.14345906
30,2020-07-01 03:30:00,9130.95492942,9141.55700000,9118.62100001,9118.62100001,0.47449029,4333.32023527
31,2020-07-01 03:35:00,9124.12548309,9128.89077993,9124.12548297,9128.89077993,0.07969512,727.15829249
32,2020-07-01 03:40:00,9120.92570024,9127.44799811,9120.92570024,9126.91504046,0.02514084,229.46330580
33,2020-07-01 03:45:00,9126.46921780,9132.33617876,9126.22410003,9127.01498825,0.52127771,4759.28151131
34,2020-07-01 03:50:00,9127.40647070,9132.33615528,9127.40647070,9128.65644767,0.07003955,639.30376106
35,2020-07-01 03:55:00,9128.64814034,9142.44726398,9128.64814034,9142.34799994,0.56863597,5194.45784106
36,2020-07-01 04:00:00,9141.13725161,9154.46699998,9137.96625762,9145.83280674,0.92060821,8419.81991566
37,2020-07-01 04:05:00,9147.95912180,9152.95699998,9145.83280670,9147.21405551,0.25401271,2323.53948776
38,2020-07-01 04:10:00,9149.69162738,9151.74300000,9143.71900297,9146.02567841,0.65945489,6033.21109338
39,2020-07-01 04:15:00,9150.78236613,9155.87913493,9141.67300000,9153.04596239,0.75540051,6907.84660300
40,2020-07-01 04:20:00,9152.22724078,9157.36879994,9149.71100001,9149.81100644,0.34702544,3175.64253543
41,2020-07-01 04:25:00,9154.32986614,9158.46483460,9142.91900991,9152.31600949,0.37888278,3467.55071228
42,2020-07-01 04:30:00,9158.46482760,9159.99999998,9152.01600342,9152.01600342,0.35247344,3227.10280397
43,2020-07-01 04:35:00,9157.87000000,9157.87000000,9147.41790007,9153.18956482,0.13718574,1255.81809876
44,2020-07-01 04:40:00,9147.61700002,9160.00000000,9147.61700002,9154.42148990,0.47638741,4361.31734184
45,2020-07-01 04:45:00,9159.99999999,9159.99999999,9154.99890004,9159.54214800,0.53593545,4908.74871390
46,2020-07-01 04:50:00,9152.68600798,9155.00000000,9152.68600798,9154.99999998,0.13221308,1210.37097171
47,2020-07-01 04:55:00,9154.99999998,9154.99999998,9148.14001483,9149.05885461,0.35230264,3224.46085476
48,2020-07-01 05:00:00,9149.05885461,9152.06599997,9143.01900002,9151.30399367,0.03942507,360.65767041
49,2020-07-01 05:05:00,9151.30399367,9151.30399367,9145.09779799,9148.46298258,0.04909952,449.16360764
50,2020-07-01 05:10:00,9148.46298253,9150.78155192,9141.58188845,9144.51560536,1.10290205,10086.38962882
51,2020-07-01 05:15:00,9137.52080001,9145.46700000,9131.65200006,9145.46699487,0.43465787,3971.79234502
52,2020-07-01 05:20:00,9144.45164330,9144.45164330,9138.49381969,9139.02040002,0.21108356,1929.18626582
53,2020-07-01 05:25:00,9140.63304762,9145.63799995,9137.25600005,9145.23131670,0.03414009,312.01276240
54,2020-07-01 05:30:00,9144.78873202,9145.22291583,9140.10000667,9144.35455207,0.49377762,4514.26488764
55,2020-07-01 05:35:00,9144.57130312,9145.64941888,9144.57130312,9145.10740016,0.15524511,1419.72707642
56,2020-07-01 05:40:00,9152.25438033,9152.25438033,9145.23131572,9145.63426871,0.63645976,5824.50508645
57,2020-07-01 05:45:00,9145.63426871,9146.57426322,9145.23132288,9146.33919972,0.63044582,5765.92899714
58,2020-07-01 05:50:00,9145.39913242,9151.63198761,9145.39913242,9145.49900005,0.28958931,2648.47755758
59,2020-07-01 05:55:00,9145.49900006,9150.65399312,9145.49900005,9150.65398194,0.18692962,1709.77471904
60,2020-07-01 06:00:00,9145.49900005,9149.96655119,9129.47706298,9129.57700000,1.77845920,16249.54246668
61,2020-07-01 06:05:00,9129.57700722,9140.72299337,9129.57700006,9137.38399994,0.76749984,7007.61447525
62,2020-07-01 06:10:00,9137.38399980,9137.38399980,9121.94583689,9129.99999999,1.23623706,11282.03329384
63,2020-07-01 06:15:00,9127.99999998,9135.69399999,9127.41685174,9135.69399999,0.35280226,3221.84901340
64,2020-07-01 06:20:00,9135.27590671,9135.59157969,9128.53000000,9128.53000000,0.96559085,8818.48417068
65,2020-07-01 06:25:00,9135.27590004,9136.20639359,9135.27590004,9135.27590005,0.77095280,7042.86755735
66,2020-07-01 06:30:00,9136.19559815,9140.62296272,9131.05300004,9135.19110278,1.07257082,9797.73498565
67,2020-07-01 06:35:00,9135.19110298,9136.67400707,9135.19110297,9136.57490611,0.58969397,5387.68847769
68,2020-07-01 06:40:00,9134.08600813,9136.99405910,9134.08600813,9136.88691408,0.07146368,652.88281220
69,2020-07-01 06:45:00,9136.88690167,9143.64698545,9136.18502030,9136.18502836,0.24582231,2246.27423003
